tradedate,ticker,open,close,high,low,volume,openinterest
2018-08-09,600519,671.0,691.88,694.5,670.12,3448575.0,0
2018-08-10,600519,691.88,687.18,694.77,684.2,2381767.0,0
2018-08-13,600519,683.0,679.22,683.0,666.68,3457041.0000000005,0
2018-08-14,600519,679.22,680.13,684.5,673.51,2169683.0,0
2018-08-15,600519,679.8,662.8,680.0,661.0000000000001,3499708.9999999995,0
2018-08-16,600519,651.9999999999999,648.4400000000002,668.5,640.0,5993985.0,0
2018-08-17,600519,657.5,634.86,657.5,630.01,4657457.0,0
2018-08-20,600519,632.45,644.79,645.55,616.86,4885234.0,0
2018-08-21,600519,647.0,671.49,672.3000000000001,647.0,5224902.0,0
2018-08-22,600519,671.0,667.7,673.2,663.0000000000001,2067551.0,0
2018-08-23,600519,671.7,670.21,678.5,665.18,2735727.0,0
2018-08-24,600519,669.0,660.2999999999998,669.0,656.46,2609026.0,0
2018-08-27,600519,662.0000000000001,687.3,687.3,662.0000000000001,4801692.0,0
2018-08-28,600519,693.0,681.0,693.78,678.55,3248890.0,0
2018-08-29,600519,682.0,685.85,688.88,679.1,2740403.0,0
2018-08-30,600519,688.21,680.4,692.6000000000001,679.01,3378833.0,0
2018-08-31,600519,676.25,659.19,677.0,656.5,5898093.0,0
2018-09-03,600519,651.9999999999999,666.21,667.6700000000001,650.8,3017984.0,0
2018-09-04,600519,666.8,675.04,676.0,661.6,2154048.0,0
2018-09-05,600519,675.0,657.79,676.99,656.9999999999999,2898342.0,0
2018-09-06,600519,651.9999999999999,644.0,659.2599999999999,640.0,4237058.0,0
2018-09-07,600519,645.5,650.97,658.03,645.14,2924006.0,0
2018-09-10,600519,652.2,644.8,653.81,640.7,2120220.0,0
2018-09-11,600519,645.57,646.0,650.97,640.63,1949687.0,0
2018-09-12,600519,643.0,630.0,644.87,628.01,4115737.0000000005,0
2018-09-13,600519,638.0,631.98,642.0,620.0,4771316.0,0
2018-09-14,600519,633.98,642.9,649.78,628.53,4090019.0,0
2018-09-17,600519,645.0,645.81,652.9600000000002,641.06,2911295.0,0
2018-09-18,600519,643.0,666.7,668.0,642.22,3785868.0,0
2018-09-19,600519,666.58,681.42,686.0,666.0,4822184.0,0
2018-09-20,600519,685.2,678.55,686.9,677.36,2751948.0,0
2018-09-21,600519,682.0,700.0100000000001,700.0100000000001,680.01,4261720.0,0
2018-09-25,600519,695.0,697.02,705.77,693.26,3063991.0,0
2018-09-26,600519,702.1,724.93,732.68,701.99,7228777.0,0
2018-09-27,600519,727.4999999999999,724.0,728.0,715.4,4050853.0,0
2018-09-28,600519,726.7,730.0,733.2,718.88,3508980.0000000005,0
2018-10-08,600519,715.41,686.15,719.0,686.15,8274502.0,0
2018-10-09,600519,686.9,695.0,698.71,685.9,4022283.0,0
2018-10-10,600519,697.26,670.92,698.0,669.69,6309820.0,0
2018-10-11,600519,635.01,644.99,668.94,635.01,9158196.0,0
2018-10-12,600519,651.0,668.0,672.68,650.58,5447256.0,0
2018-10-15,600519,669.49,666.9,671.95,660.03,3560730.0000000005,0
2018-10-16,600519,665.98,667.14,679.53,662.01,2639360.0,0
2018-10-17,600519,675.0,665.72,677.3,649.9,4307707.0,0
2018-10-18,600519,660.0000000000001,645.94,660.0000000000001,644.97,5215607.0,0
2018-10-19,600519,638.0,670.0,675.0,635.08,7619938.0,0
2018-10-22,600519,675.0,693.0,702.02,675.0,7310857.000000001,0
2018-10-23,600519,689.0,641.74,689.0,635.0,12311273.0,0
2018-10-24,600519,628.11,636.99,650.0,620.0,7611282.000000001,0
2018-10-25,600519,620.0,619.0,622.5,608.5799999999999,7556838.0,0
2018-10-26,600519,619.0,610.0999999999999,625.0,607.98,5532738.0,0
2018-10-29,600519,549.09,549.09,549.09,549.09,4907600.0,0
2018-10-30,600519,510.0,524.0,543.0,509.02,20439667.0,0
2018-10-31,600519,527.0,548.9,555.0,522.0,9688482.0,0
2018-11-01,600519,555.0,563.0,585.5000000000001,551.25,9810672.0,0
2018-11-02,600519,585.0,599.9,600.0,572.24,8915696.0,0
2018-11-05,600519,593.0,575.8,593.0,571.77,7551708.0,0
2018-11-06,600519,574.0,566.0,574.16,558.01,4556614.0,0
2018-11-07,600519,569.0,566.4,574.95,562.01,3810778.0,0
2018-11-08,600519,574.0,570.34,577.0,568.0,3376374.0,0
2018-11-09,600519,567.22,562.0,569.0,562.0,2433682.0,0
2018-11-12,600519,553.0,552.0,554.2,536.8,6782422.0,0
2018-11-13,600519,546.12,570.0,570.0,543.0,6642905.0,0
2018-11-14,600519,569.96,555.1,569.96,552.55,4176683.0,0
2018-11-15,600519,558.8,559.7,564.8,555.5,3083340.0,0
2018-11-16,600519,561.0,560.0,566.0,558.03,2893879.0,0
2018-11-19,600519,560.3,569.02,572.0,559.11,3617925.0,0
2018-11-20,600519,565.0,561.6,568.0,560.0,2694326.0,0
2018-11-21,600519,554.0,564.7,568.9,553.68,2710730.0,0
2018-11-22,600519,565.15,564.5,567.33,558.0,2121333.0,0
2018-11-23,600519,564.0,556.9,567.3,556.9,2012621.0,0
2018-11-26,600519,558.0,552.11,560.2,552.0,1912019.0,0
2018-11-27,600519,552.0,548.1,554.99,546.5,2023382.0,0
2018-11-28,600519,550.85,557.0,559.19,545.5,2773793.0,0
2018-11-29,600519,566.03,551.6,569.8,549.01,4506945.0,0
2018-11-30,600519,557.0,565.0,568.89,553.0,4901046.0,0
2018-12-03,600519,589.0,601.2,605.0,584.77,8341467.999999999,0
2018-12-04,600519,602.99,602.23,604.26,595.0,3147388.0,0
2018-12-05,600519,597.5,610.0999999999999,616.5,595.0,4158819.0,0
2018-12-06,600519,600.0,591.7999999999998,605.98,590.36,3775807.0,0
2018-12-07,600519,595.6,587.0,598.86,584.7,2684167.0,0
2018-12-10,600519,576.0,577.23,587.5000000000001,574.18,2464068.0,0
2018-12-11,600519,577.0,582.99,586.55,577.0,1631660.0,0
2018-12-12,600519,588.79,589.0,589.2,582.8,1992154.0,0
2018-12-13,600519,590.0,601.75,606.88,589.6,4039941.0000000005,0
2018-12-14,600519,598.01,592.96,599.8000000000001,592.0,2455448.0,0
2018-12-17,600519,592.57,590.52,595.97,585.01,2489585.0,0
2018-12-18,600519,585.88,590.94,591.5399999999998,585.0,1922218.0,0
2018-12-19,600519,589.0,577.8,590.99,576.03,2571596.0,0
2018-12-20,600519,576.22,574.5,581.4999999999999,568.89,2694098.0,0
2018-12-21,600519,571.0,567.41,573.45,562.21,3064043.0,0
2018-12-24,600519,563.5,568.0,570.91,558.0,1910986.0,0
2018-12-25,600519,562.22,565.79,567.5,553.61,2659286.0,0
2018-12-26,600519,563.81,560.08,568.4,558.0,1786620.0,0
2018-12-27,600519,570.0,563.0,571.85,562.22,2949357.0,0
2018-12-28,600519,563.3,590.01,596.4,560.0,6367837.0,0
2019-01-02,600519,609.98,598.98,612.0,595.01,6228649.0,0
2019-01-03,600519,599.97,590.0,601.66,585.8,3097735.0,0
2019-01-04,600519,587.2799999999999,602.0,607.67,582.0199999999999,3768347.0,0
2019-01-07,600519,608.0,605.49,612.0,602.22,3475012.9999999995,0
2019-01-08,600519,605.5,604.79,612.0,600.28,2883813.0,0
2019-01-09,600519,609.99,616.12,626.16,609.04,4989227.0,0
2019-01-10,600519,617.13,618.7699999999999,624.8800000000001,610.25,2904390.0,0
2019-01-11,600519,625.0,635.88,637.0,618.75,3888421.0,0
2019-01-14,600519,633.0,624.6,635.89,621.55,2564890.0,0
2019-01-15,600519,627.86,659.98,661.5,625.0,5576485.0,0
2019-01-16,600519,657.9999999999999,661.1,665.65,653.6,4208364.0,0
2019-01-17,600519,663.0000000000001,659.25,669.7,655.8,3028476.0,0
2019-01-18,600519,665.0000000000001,683.61,690.2,661.5,6860917.999999999,0
2019-01-21,600519,690.0,686.98,698.88,681.88,4705193.0,0
2019-01-22,600519,686.0,671.0,686.0,665.22,4212221.0,0
2019-01-23,600519,667.22,665.66,674.5,663.13,3362481.0,0
2019-01-24,600519,670.3000000000001,672.5,677.83,664.68,2915527.0,0
2019-01-25,600519,675.88,679.7,684.9,669.9300000000001,2898635.0,0
2019-01-28,600519,684.0,677.0,693.98,676.03,3610287.0000000005,0
2019-01-29,600519,677.5,685.0,688.0,668.0,3034259.0,0
2019-01-30,600519,684.99,676.0,686.22,676.0,2269996.0,0
2019-01-31,600519,680.0,689.5999999999999,689.5999999999999,677.56,3669657.0,0
2019-02-01,600519,697.04,692.67,699.0,689.61,3052062.0,0
2019-02-11,600519,695.0,725.3,729.4999999999999,688.18,5814075.0,0
2019-02-12,600519,723.0,717.92,725.49,715.2,3509143.0,0
2019-02-13,600519,723.0,735.25,736.16,717.22,3567706.0,0
2019-02-14,600519,731.2,737.16,743.66,730.14,3225813.0,0
2019-02-15,600519,734.88,724.78,734.88,723.02,2323798.0,0
2019-02-18,600519,731.0,740.0,744.95,731.0,3774589.0,0
2019-02-19,600519,740.96,730.7599999999999,742.5,726.66,2950150.0,0
2019-02-20,600519,735.0,722.0,735.0,716.06,3788237.0000000005,0
2019-02-21,600519,720.0,720.25,730.48,717.0,2985040.0,0
2019-02-22,600519,717.0,726.01,728.49,714.1,2590877.0,0
2019-02-25,600519,730.75,742.33,744.44,717.99,8262259.0,0
2019-02-26,600519,747.8,727.3500000000001,749.18,726.0,5796466.0,0
2019-02-27,600519,733.0,740.7,758.02,731.0,6594227.0,0
2019-02-28,600519,737.9,755.01,763.42,736.95,5698625.0,0
2019-03-01,600519,761.5,789.3,790.0,761.0,6384023.0,0
2019-03-04,600519,795.0,781.86,798.3300000000002,777.22,8458596.0,0
2019-03-05,600519,785.0,779.78,789.55,775.8800000000001,4483056.0,0
2019-03-06,600519,775.0,768.0,779.5,765.8799999999999,4673137.0,0
2019-03-07,600519,762.22,748.6,762.22,745.56,6018053.0,0
2019-03-08,600519,737.9,737.5000000000001,746.83,733.6499999999999,5227525.0,0
2019-03-11,600519,740.04,758.54,766.95,740.04,5305724.0,0
2019-03-12,600519,763.82,745.01,763.83,739.0,5251001.0,0
2019-03-13,600519,745.5,754.0,760.75,745.5,4056136.0,0
2019-03-14,600519,757.0,778.0,785.0,754.0,6217256.0,0
2019-03-15,600519,776.0,777.3,787.5,764.85,5240071.0,0
2019-03-18,600519,778.8,810.09,814.53,777.0,8131880.0,0
2019-03-19,600519,802.9999999999999,792.61,807.92,792.3,4063493.0,0
2019-03-20,600519,790.0,792.8,802.3,785.0,3111752.0,0
2019-03-21,600519,788.0,785.75,792.8,781.5,3257328.0,0
2019-03-22,600519,788.22,794.0,799.98,785.0,3051750.0,0
2019-03-25,600519,786.0,775.6,788.0,773.3,3727046.0,0
2019-03-26,600519,780.0,773.0,785.94,764.1000000000001,3759569.0,0
2019-03-27,600519,781.0,788.5,793.88,775.0,4280739.0,0
2019-03-28,600519,793.43,806.8,814.48,785.68,5756676.0,0
2019-03-29,600519,835.0,853.99,866.68,830.17,9093396.0,0
2019-04-01,600519,860.0,859.0,868.95,851.0,6093461.0,0
2019-04-02,600519,859.99,850.0,859.99,836.06,5322705.0,0
2019-04-03,600519,840.1199999999999,844.5,851.74,834.21,4305680.0,0
2019-04-04,600519,840.0,865.0,865.8,836.2,5577236.0,0
